Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
36,Royce O'Neale,BRK,$9200000,$9500000,,,,,$11700000,onealro01
37,Joe Harris,BRK,$18642857,$19928571,,,,,$38571428,harrijo01
38,Ben Simmons,BRK,$35448672,$37893408,$40338144,,,,$113680224,simmobe01
39,Kyrie Irving,BRK,$36934550,,,,,,$36934550,irvinky01
40,Kevin Durant,BRK,$44119845,$47649433,$51179021,$54708609,,,$197656908,duranke01
41,Javon Freeman-Liberty,CHI,$1017781,,,,,,,freemja01
42,Ayo Dosunmu,CHI,$1563518,,,,,,,dosunay01
43,Marko Simonovic,CHI,$1563518,$1836096,,,,,$1563518,simonma01
44,Carlik Jones,CHI,$1637966,,,,,,$1637966,jonesca03
45,Javonte Green,CHI,$1815677,,,,,,$1815677,greenja02
46,Tony Bradley,CHI,$2036318,,,,,,$2036318,bradlto01
47,Dalen Terry,CHI,$3191400,$3350760,$3510480,$5399118,,,$6542160,terryda01
48,Derrick Jones Jr.,CHI,$3200000,$3360000,,,,,$3200000,jonesde02
49,Andre Drummond,CHI,$3200000,$3360000,,,,,$6560000,drumman01
50,Coby White,CHI,$7413955,,,,,,$7413955,whiteco01
51,Patrick Williams,CHI,$7775400,$9835881,,,,,$7775400,willipa01
52,Alex Caruso,CHI,$9030000,$9460000,$9890000,,,,$28380000,carusal01
53,Lonzo Ball,CHI,$19534884,$20465117,$21395348,,,,$40000001,balllo01
54,Nikola Vučević,CHI,$22000000,,,,,,$22000000,vucevni01
55,DeMar DeRozan,CHI,$27300000,$28600000,,,,,$55900000,derozde01
56,Zach LaVine,CHI,$37096500,$40064220,$43031940,$45999660,$48967380,,$166192320,lavinza01
57,JT Thor,CHO,$1563518,$1836096,$1988598,,,,$1563518,thorjt01
58,Nick Richards,CHO,$1782621,,,,,,,richani01
59,Jalen McDaniels,CHO,$1930681,,,,,,$1930681,mcdanja01
60,Kai Jones,CHO,$2909040,$3047880,$4693735,,,,$2909040,joneska01
61,Mark Williams,CHO,$3722040,$3908160,$4094280,$6276531,,,$7630200,willima07
62,James Bouknight,CHO,$4362240,$4570080,$6064496,,,,$4362240,bouknja01
63,P.J. Washington,CHO,$5808435,,,,,,$5808435,washipj01
64,Cody Martin,CHO,$7000000,$7560000,$8120000,$8680000,,,$22680000,martico01
65,LaMelo Ball,CHO,$8623920,$10900635,,,,,$8623920,ballla01
66,Nicolas Batum,CHO,$19700319,$11710818,,,,,$8856969,batumni01
67,Mason Plumlee,CHO,$9080417,,,,,,$9080417,plumlma01
68,Kelly Oubre Jr.,CHO,$12600000,,,,,,$5000000,oubreke01
